Final_Rank,Country,Rank_V1,Rank_V2,Rank_Combined,DTW,Cosine,Euclidean,JSD
1,EGY,3,7,5.0,0.9653262586680215,0.13965827353263438,4.2552962015779405,0.10338146099067222
2,BTN,5,10,7.5,1.0234787981349502,0.15141537795886184,4.481760305465117,0.1166811337378649
3,CHN,10,12,11.0,1.3101158099432517,0.2216438830079248,5.426985936069708,0.12099615716059106
4,IDN,2,31,16.5,0.673084493317645,0.10406033978953155,4.169451186426425,0.13111566630444213
5,BOL,12,28,20.0,1.3592735000931404,0.2511324731527187,5.4555367947418185,0.13068047852054873
6,TJK,13,27,20.0,1.350645664689347,0.241701369750831,6.232827052512934,0.13046067710883538
7,ROU,27,15,21.0,1.7725850515112342,0.4491945608200786,7.048989063554408,0.12336877631063747
8,MDA,44,1,22.5,1.942146224281131,0.674651583119489,8.347126596950117,0.09295633720427803
9,TUR,39,9,24.0,2.0983953279360956,0.5318706378553579,7.351957393173952,0.1150209156199804
10,PRY,1,51,26.0,0.7477461101202202,0.07425415162408178,3.209040946554552,0.14204631964684505
11,KGZ,18,34,26.0,1.513176888210937,0.31860950215353834,6.2890664292536895,0.13198354165382953
12,BLR,6,47,26.5,1.1685771818108617,0.17692970760405435,4.684298087322465,0.1388567669598643
13,BIH,51,6,28.5,2.2305479269946304,0.7184142290249175,8.464388944730453,0.10307652405096313
14,TUN,46,18,32.0,2.0756005917666527,0.6880010363409358,8.212799036644943,0.12494777074273321
15,UZB,11,53,32.0,1.2257199322237133,0.2147768324947028,6.374444519585592,0.14317359306484015
16,CHL,52,16,34.0,2.38831500079836,0.6706225107187689,8.673767318964957,0.12426009806152646
17,ARG,47,23,35.0,2.2916202170555366,0.6212418174954457,8.025786152271417,0.12918321067643213
18,LKA,40,32,36.0,1.9583799997034477,0.6092539961570342,7.749161496373282,0.13120871678576188
19,PER,17,55,36.0,1.5180248810728425,0.2966943406071787,5.865100208249139,0.14396163728837497
20,ARM,24,48,36.0,1.6579885941134889,0.43841300424121243,6.933595219918882,0.13937921923510393
21,DOM,53,20,36.5,2.2152063992628057,0.7398718908269674,8.800322737209807,0.12577840227917084
22,AZE,37,39,38.0,2.1893571828208906,0.18680078421427948,9.644405455606226,0.1332729472303865
23,ECU,29,50,39.5,1.8459513457785097,0.4800938977380034,7.118813254793545,0.14193635249899478
24,TTO,62,19,40.5,2.8567650904892377,0.5399621291269325,10.28991360045363,0.12552325942557427
25,LAO,16,65,40.5,1.3755218467454928,0.2764973125853949,6.3013881629179505,0.1479164785817997
26,SAU,57,25,41.0,2.9132911641539225,0.36469232753906866,10.736234926036895,0.12969497866205248
27,HND,59,24,41.5,2.222916042397368,0.8113449022063315,8.67449308197687,0.1293028584093969
28,SLV,75,8,41.5,2.419851770892792,0.930209244271776,9.63865060365976,0.114366151748972
29,TKM,22,64,43.0,1.6967183370012455,0.21732020177089817,8.352511700746867,0.14786846853671973
30,PHL,25,62,43.5,1.5936199941377527,0.476632301419735,7.0471318393763465,0.14717692746898198
31,IRN,14,75,44.5,1.4130212221867846,0.24016681060267087,5.689994090853532,0.1530616767121607
32,BGD,48,43,45.5,2.1682637169746064,0.654609953199079,8.652231846374649,0.13687236000227565
33,MYS,19,73,46.0,1.6516795030524045,0.3025063902494417,6.332656219809335,0.15210428657293637
34,COL,35,57,46.0,1.9229714783501757,0.5329120340496282,7.3709257013331255,0.14436231617335213
35,ALB,7,85,46.0,1.1264745192640164,0.19549216793737423,4.944965028174002,0.1581290582353335
36,JOR,76,17,46.5,2.6849067446116615,0.9236030186203597,10.178644806551722,0.12465731124396265
37,LMY,26,69,47.5,1.8045965169739968,0.43972573537128457,6.8082080365472475,0.14978905116743
38,BGR,74,22,48.0,2.5177973744779796,0.9258594447609515,9.486897114582792,0.12822352699172127
39,MEX,58,40,49.0,2.314395512762014,0.7776870080285918,9.149435868344334,0.13463127423417956
40,PAK,70,30,50.0,2.7164816801859866,0.7721024279425676,9.914087737720449,0.1311122989538392
41,THA,15,87,51.0,1.394191797100985,0.29579974201428205,5.858134186874166,0.1588621672043191
42,DZA,8,94,51.0,1.2663648755197656,0.20599006343632642,5.4145073900671425,0.1617312339442886
43,GEO,66,36,51.0,2.2665295689499367,0.8606522564100876,9.653042375569905,0.1322822092740807
44,NIC,30,74,52.0,1.8466783156691002,0.5059712899766449,7.319914995906023,0.1525744938677019
45,MKD,49,56,52.5,2.15063664798019,0.7185535266862937,8.569525172254673,0.14402585102751606
46,NPL,80,26,53.0,3.117182725475088,0.7702733482871345,11.965444375273195,0.12970452941406277
47,MMR,56,52,54.0,2.6819166019399625,0.4383203913740418,11.231809519031016,0.142750558644061
48,HRV,98,13,55.5,3.0969257312201557,1.090642500758825,10.878165104734006,0.12226601073518352
49,FJI,73,41,57.0,2.3829219538583053,0.9140721257759079,9.697956565832365,0.1348170399970847
50,MAR,21,96,58.5,1.711913179934302,0.38483656351592943,6.4912089373901845,0.16362458036079433
51,MNE,112,5,58.5,3.129677697152352,1.1450490490432563,11.799435156326624,0.10254099817555107
52,KAZ,32,86,59.0,1.9187808440272118,0.45040288969896114,7.423847906275031,0.15815169966417586
