economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,51.7852298243845,54.0607007192211,53.8841202639004,51.7272559982541,50.6584576108456,55.8930411328093,58.8006572951036,56.2504341594081,58.6859032351161,59.1636851428981,60.2405386637617,56.6268817632089,57.2219316866237,57.246534425591,55.9651018283957,59.6493537497553,82.0939664354264,68.6460015848153,60.5316284506998,56.711929646071,
AFE,79.85964558993,85.31112801404,94.3851489171964,93.3502201462442,78.1458267875116,79.5947790610624,84.6104728025506,76.3874705547756,79.2722783477421,75.4637741628069,73.9857531487778,65.7969298973195,66.039387644507,65.7437053602284,62.1413742869687,60.5328100329428,55.7773296362755,49.5995485828764,44.407170680363,46.6794368727604,
AFG,,,4.84285686566253,6.83998223656721,9.38832772083979,10.58413068423,11.5750442390122,4.95918037606027,4.47210362973721,4.3216854169302,3.94105709996345,3.98149379462535,3.88832174612488,3.84188120492596,3.51231703339133,3.22995723026215,3.09659808966059,,,,
AFW,8.69254366659698,8.67513975958603,8.50044255887774,12.32843245767,15.2125494475014,16.3629930498061,13.012713803506,11.8575114366336,11.6122886549053,12.5774946951391,13.9758498697576,14.4415164078007,15.8593607616424,14.9321541029288,13.292858882315,11.0738503016961,11.7330980537159,12.6505815985063,12.6271452132446,,
AGO,,,,,,,,,,,,22.2749280175046,18.5908277620868,14.84745928119,13.2564012766381,13.4718248959992,11.3107531927913,8.70249637691386,6.86560736253038,7.56544382086069,7.277022461899
ALB,,,,,,37.3109373018231,38.5667222073844,40.8904191085198,41.048928970868,39.7219957616212,39.0603696115194,36.8808802178051,36.2098635348358,34.1324652358472,32.507358683887,33.725595513728,37.719333429721,36.4341686860283,33.7912381516025,32.4665672054877,34.0597809059347
AND,,,,,,,,,,,,,,,,,,,,,
ARB,31.7837778326557,31.7948372661255,30.929866412169,32.7844440539473,32.3529105907699,37.8636182409174,37.1136424740815,34.5539861314178,34.0741128250402,35.991851999324,39.100508942233,47.461304906941,55.4549292293637,53.3884708037798,,,,,,,
ARE,,,,,,,,,,,,,81.9398711422571,78.1489012109159,73.9842900645691,75.2884988271793,88.835666097675,76.1676429790591,65.4574313053044,,
ARG,9.68251819633223,10.6534929189359,11.9102616607561,13.0985413493544,12.313946714342,12.4162075416805,12.6901062454749,14.0087151168124,15.2128150156924,15.7290920133564,13.8237692455151,14.4142330417064,13.6676334273514,15.9584973420583,,14.4776292447323,15.746489768328,13.2644289814535,12.8891009335255,15.3570823376105,15.1176778381075
ARM,,,,,,24.8549219693588,28.4451645997959,35.367887872035,40.0600551046667,42.380240486921,48.9171731063841,45.630782609944,48.8756443742773,51.5425858055791,55.5020027333594,60.1552379151791,72.1929140858516,61.6738125458808,52.5538426755394,55.404960257376,64.3799433173924
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,54.42291661404,53.9303290896611,56.9746755608082,56.8669025605526,58.6556354220414,65.7920450902874,69.9672803619414,67.7158524340669,61.878190497643,61.2782354058857,56.0332947393022,48.6317411322758,47.0134239034493,44.2266252584994,41.6541874622447,41.9491312714393,53.7704057805228,45.4347464248891,38.1699416436992,38.0118435193016,38.5522100446786
AUS,102.447693760099,108.259010705054,113.405916759874,120.28724964726,121.444819283971,122.113074120131,124.791339290254,121.790806241678,120.774756172135,124.183275636084,127.88384873162,135.800292705604,142.104255731186,140.108067004121,139.498062822532,135.666714386567,141.704749324424,138.339567139855,133.643883130747,126.962120898014,129.317349644696
AUT,88.4249908125088,94.9670359723065,95.1090616207875,93.5025894904191,96.4418920331131,98.3438510262014,99.1468795000545,96.672569255418,94.8379795773965,93.3411391388064,88.3599171258328,86.4399964991008,83.5897539711459,84.7370865911526,84.8629638770058,86.3027943646251,93.0516337886918,93.0624546800894,89.1835529946886,84.1024713084051,81.7652651021229
AZE,,,,,,,,,,,,,32.8688540294339,22.099603808676,20.766485823452,23.0018690122863,26.0320151044626,22.9250440750459,18.2984687873762,23.1277980537513,26.394691931299
BDI,17.3507477479317,14.5436683318932,15.8308802198641,14.7745242569166,13.6629151516452,14.6793826690786,18.3619180287296,21.5599867211629,20.2564835755971,19.3896785284403,19.2931031434152,18.0993066345064,17.3430079433227,14.8751095645513,16.5086011287819,18.5772261218263,19.4037543177132,28.3775482102837,34.9352492275533,37.3761834505836,
BEL,61.8425933319116,63.5977700769197,65.8336190975591,68.4438486940037,62.7583028636525,58.4658025409586,56.7854964068071,55.0145295494018,54.4903281452635,56.159869726618,57.6106231184791,60.8026221428606,63.6160862759358,65.3372340367951,68.168572322727,69.360003620854,76.125350915761,74.7536988644538,72.6022435766675,69.2782899991251,68.0983723586982
BEN,7.80447197593826,9.03431033571312,10.3350666644978,12.3091832074478,12.78056590883,15.1297116490958,15.8348376803157,16.5743404440371,15.6475924079483,16.4539498482643,16.7371091356356,16.7357064364676,17.4823722798533,16.5779195095066,16.7464154376754,17.6107025365193,15.5371207615124,15.5860792794621,17.1000410708093,18.6083305389739,18.9801611697157
BFA,12.9534294603704,13.2962037127745,14.6778844337033,12.7845581771528,15.090956904862,16.0831017980888,15.6345262986983,15.3703421373421,16.6424591713295,20.8210379838202,23.4056081561129,25.0377705622704,25.8099456026526,27.4216018903543,27.1497137139349,28.3478578876958,28.6738905255504,29.4819696538483,31.6493056662127,31.910243336278,27.1571923411989
BGD,27.9134032883374,29.3438304968623,31.1657016961389,32.0428330535648,34.0421917464818,36.1910375652522,40.9613226292342,42.4702411629772,43.0006693750914,41.7947548053392,43.7361238704853,44.4069718062837,37.7986426672318,40.4489561448676,40.0247365906979,39.0344709350066,39.161059242521,39.0820163295701,38.9555684288032,37.6413802339103,35.8111715787963
BGR,33.1446390021309,39.0634456637608,42.4504456723938,58.4585074534344,66.9202948770101,68.9585675826522,68.2016658058432,65.2789533793202,65.7832885389643,66.1868503636621,59.2265470205194,54.7945970156139,52.019750215835,49.8038881171013,50.5406119539966,49.8324848400669,51.3032043573463,48.1534647397881,44.7288137825196,45.3249402189437,47.067902488525
