economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,,,,,,,,,,,,,,,,,,,,,
AFE,27.8124407883343,27.9728340220678,28.2971521723929,28.6043096345486,28.859947033116,29.0800077037936,29.8023909576755,30.1521447448849,30.6136936599094,30.3886859838973,31.0444810877045,31.5469036017198,32.0982958374921,32.6873169327904,33.5381424689252,34.5483996115138,33.0261568695551,32.7940798485352,33.6081619000381,33.6967049509918,34.2977111919012
AFG,24.833148478038,25.7077189524347,25.9420504795722,27.2248878765164,27.6621985463541,29.3948425879471,31.1592526833235,31.1177963939839,32.3133084481045,32.0763627884824,32.2391686364613,33.7321152250418,35.23983684805,36.802134491624,37.0166785521044,37.5135391226906,35.535277276328,30.151585831638,29.4272142369757,29.4984918421715,29.5021677680015
AFW,33.8593957873021,34.3740978986254,34.8887133278551,35.5194799295522,36.1756096194748,36.8707889152576,37.7443976580416,38.3985434212623,38.9596545495083,39.4955974910526,40.1059420844488,40.6960983900992,40.9691889210339,41.4778475795376,42.1082822211187,42.9057256242192,41.3285540722728,41.5459857451246,41.8024485293288,42.32235686483,42.845976909497
AGO,60.4315375805673,58.4651355521218,56.6875803163974,54.8911137864211,53.1496704920599,51.3263213533981,48.8556342624711,46.5491998883029,44.4213021713595,42.4380131365122,40.3316392087452,40.3215498679159,40.1139584289984,40.0178727618802,39.7773354887959,39.666195800835,38.2191311444807,37.5749267305878,40.4877627343102,40.5263400343568,40.687555299181
ALB,36.4694828120954,36.3587685307636,37.0819396819245,37.3181538543968,37.54099828889,36.5546191483091,38.0056894662126,35.7883362998639,36.8368428681955,38.715793649559,39.6694222941355,39.8607872719792,40.2112427236091,42.2423402549993,42.7083957984542,43.2158670276158,43.241481433791,44.4269847878612,43.9962497505868,46.3125447479353,46.7791156790644
AND,,,,,,,,,,,,,,,,,,,,,
ARB,50.8473643975968,51.1210845321556,51.3648037059518,51.5363947745536,52.0317762642692,52.6864244862693,53.0156897412547,53.8959448971217,54.6481941036209,55.170165912626,55.5721120555936,56.2550526994313,56.6270316718039,56.5374267452176,57.487301358851,57.6937138109799,58.1157836170687,58.4202146160784,59.1439779185341,59.7692426941492,59.8753931860817
ARE,58.5160822659664,60.2126175697903,61.4827573779734,62.948707228317,64.4634223662442,64.7602353202824,65.1301084267921,65.5006038895123,65.9573189904418,66.1774963395383,66.2715274808927,66.1063601094399,66.32728191108,66.8274728416238,67.1539594518014,67.4208924215394,68.9988862248103,67.4731738749809,67.6880425093453,67.7011452667683,67.9435420294033
ARG,68.6984274895615,68.5868647859111,68.599741686598,68.6557123530693,68.7482525435358,69.6003422430472,69.7072619276578,69.0724495417462,69.4875551206921,69.2982197252933,69.0304543657975,69.6529549127388,70.4876907051936,71.0991913444513,71.4909177447964,71.7720330089912,71.3067334216532,71.7661939196741,71.3171525473111,71.2232606251736,71.6393298183816
ARM,40.9774280744513,42.4698331672726,43.7506626578286,44.9831959436148,45.1174546759737,45.0269245086298,45.0884211383162,45.8726679463546,46.2879779353927,48.2956986839071,48.4456433755783,48.7606171356523,50.6167926443804,51.9477761630882,48.307898790338,50.3592783648986,52.2190976997733,52.9376715822725,49.5448558242117,51.464636561186,51.6221413408052
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,
AUS,74.1660788856522,74.5100348841569,74.4937733136985,74.6830226329965,74.3024667592351,74.5701086200883,74.7664029539042,75.3840330275644,75.5497269797666,76.0131963183861,76.2214635366506,77.2978546767242,77.3912811084173,77.9738375060236,77.4955134119303,78.3832443026644,78.0429082421948,78.0006057330855,78.5533115520414,78.170023265328,78.4103732027917
AUT,67.3322929050045,67.1522434843168,66.5940783803328,67.1489446991614,68.537152585893,69.6953389821025,69.8497793264219,69.0368826223907,69.2446899797033,69.5168069455145,69.4117562170567,69.7047640668257,70.0892354860486,71.1478477781726,70.8704419022623,70.9879750350163,71.2713342578913,70.6387120416155,70.0972792146589,71.1617792722691,72.3416687261318
AZE,48.5573966294768,48.6052617068306,48.0995480562203,48.8253876337599,48.2766273881707,49.206106042527,48.0532593089863,48.042689263385,48.0596829037314,48.5244431349249,48.9423100194364,49.5804455785965,49.3350831297579,49.276016100813,49.0193195209717,48.9199519064652,48.9942961491657,48.8282152761729,48.7899579240212,49.4568024717014,49.8776478507312
BDI,6.64303347062412,6.80888072027702,7.22412912389116,7.60142590794398,7.96018394492752,8.1917776774012,8.57724078722435,9.00760385467366,9.45930242445199,9.91501358075243,10.3182774141645,10.1046758165545,10.2045392934042,10.2181261572166,10.9452231908443,11.7288004575192,11.5972521220322,11.2800365399661,11.2488405893982,11.3346329919803,11.5127687848366
BEL,72.8426885134364,73.2749847776115,73.3527130192424,73.7134141206963,73.7747189063997,75.0385215318654,75.2729333494976,75.4657785287695,77.0718753340351,76.9365903031326,77.3887650837691,77.3893771818411,77.4842567842084,77.647329015663,78.2148315465941,77.7955318791623,78.295927666863,79.1522132042397,78.467809392514,78.7661117864497,79.4676830825322
BEN,35.6639495807221,35.6755836423712,35.9437384748438,36.5199188864345,37.0752438948798,37.3103950010002,37.5046271484103,37.9133571825979,39.3766539694419,40.9861914579717,41.0568064161057,40.4905279874369,40.0441701308582,40.0637303642676,40.3000747297787,40.2452411061624,38.7655592695647,38.5233559858054,39.0160692262279,39.8398666470266,40.6672321336634
BFA,19.6311850530109,20.6832556002212,21.668624477294,22.2957174672465,22.7714061589215,23.2732681524489,24.1341128663153,24.9342454148463,25.7504156379259,26.6211791013326,27.2527939907872,27.8861036956258,28.7449132991202,29.6802742681287,30.6327246191108,31.4286234443131,30.3902504374231,30.1740154768281,30.4030795798118,30.7417979494269,31.1555829082131
BGD,29.2028328870851,30.4395142362302,30.877011938852,31.3752643173313,31.8272281233023,32.2859108313342,32.7415073670905,33.1927100053692,33.6489046386861,34.1119221655313,35.0586926571988,35.9780592358065,36.8757190279881,38.9833714183869,39.180939785584,39.355073841414,38.482235139488,38.2385272243361,38.3624693337989,37.0078031657165,37.3715657723132
BGR,56.3376360771197,56.8193021031483,57.4194436407278,56.9553473478946,56.1055933877593,57.5097936147253,59.9086943604236,62.0116274069216,62.002428693972,62.9813335995548,63.095148897052,62.8967613770407,62.9277595504621,63.4922505111163,62.9891363575308,63.7254654087624,62.476625791912,63.5827724879782,63.2162693784399,64.1643182242296,67.0251149129062
BHR,68.3944022413867,67.3783296355403,66.2349672577557,65.2310309224479,64.1274183317475,64.3087447567656,63.1930285946127,63.6565170742536,63.9105412584633,63.8451831807411,63.710128935467,63.7681669010783,63.6403021318337,63.6675665887466,63.7994483449178,63.9398372333248,64.501191970353,63.9100093233803,63.8685245593234,63.9777911177961,64.104099493321
BHS,79.496624798596,78.6804271803506,79.1907384637842,79.7395039643102,80.8082562880363,81.0555568236288,82.1225191225528,83.1302003337053,83.4160691303549,83.9316071125979,84.152541484533,84.5565772475112,84.6758944104077,84.5698173229865,84.6430668047594,84.6218735501286,84.7222367718078,84.1842542688762,84.195391722031,84.2827333668283,84.3569572748268
BIH,46.8439037182432,47.0906216367156,47.4561984965749,46.4686438067465,45.8534515060909,46.1636889841831,48.2833783822185,50.3160478253716,47.9531402194638,50.1740616156762,51.8282717250207,51.511888384548,49.669090708183,50.484617170996,51.0790118878029,49.2186375463072,53.6660084343876,50.8578260453864,51.305113715052,51.7978219491351,52.2463210016924
BLR,50.0306995389715,50.8168926603464,51.5201737628808,52.2490486304584,52.7923319844509,53.6767470455474,54.4045918446498,55.2481544799847,55.9534485412778,56.5939404205095,57.373589387499,58.0722558990166,58.7157155369539,58.5312028924271,58.0564023144736,58.5557774664484,58.5259318106754,58.6417627910081,58.9618880205372,58.907725554821,59.2133534681989
BLZ,61.4722721706803,62.5631911112057,62.8385993157577,63.2138508882093,63.3729268561762,63.8457446808511,64.3314713268078,64.5842585738959,64.9364952341713,65.186996218054,65.4405437335006,66.4967219974892,65.7324399568408,66.8864365092651,65.0920539656381,67.4348848251821,66.6012758582544,66.6442904905596,67.1741958753591,67.7810419608634,68.1965459750228
BMU,,,,,,,,,,,,,,,,,,,,,
BOL,43.1186990152962,40.8156257443951,41.8213109628708,42.9747796572637,47.3315571226322,47.7718934263867,48.4243475289778,48.6540655064659,50.8255638751554,50.0396042122938,47.529979359748,48.7215690311953,49.1261691680575,49.2010397628996,49.0912589777537,51.4065992469317,51.9314869678021,51.9209885918095,54.6787270415604,54.807564526608,55.1239312239933
BRA,61.9524397646298,62.0771418496592,63.0885307990768,63.4103270792605,63.4621127884553,64.4202600185269,65.3018033710638,66.1773107789778,66.3315395090719,66.3183950467743,67.1198625659528,67.8477936325247,68.8324502760797,69.8641049402985,70.4130119931623,70.7201052429598,70.4294550707763,69.7709244507317,70.7768561313763,71.6256113357859,71.9821226349216
BRB,74.8280615532148,76.2200361492192,75.4098601157511,75.3760533808853,75.8770220933085,75.8261547055538,76.2961922158213,76.7795187257153,77.0698330554696,77.1755589204596,77.4784911668351,77.7495547355843,77.8773811429486,77.5836042731073,78.6662993359047,80.2603861907548,80.6207145434861,80.2746586207969,80.9720021881061,82.3987736995281,82.5047854971287
BRN,78.9242670860842,79.0838220569303,79.0835375102088,79.6100511972817,79.7217139069396,80.1784697171065,80.2977525932671,80.1145477838664,80.1688187976291,80.4935413048807,80.7191676909389,81.3408381004964,82.0371735869206,82.5140481404865,79.5353504991201,77.2834440443227,74.948364763826,75.0269799584069,77.0126064485951,78.2786165927859,78.3168444962091
BTN,31.416034688272,31.7688499299209,32.128623129127,32.6683331833897,32.9382619794647,33.2704185628337,33.6171438729411,30.6454795784846,31.7470054066051,32.6974992467611,32.5268112837048,32.3531706731491,32.6472456558005,32.8176918831969,32.9435003176095,33.4270698136487,35.225631270276,34.5323905167321,40.8044243060034,40.9314872628336,41.2757792300332
BWA,64.4735497844343,64.4168947793032,64.1066170825015,64.7664848250065,65.1993600619959,65.3217939454559,65.7872176423908,66.100778881115,66.2129726736287,66.8901326676419,67.3092462195544,67.2309126554339,67.6788747825923,68.016466203356,68.3031692047968,68.6022957461175,65.5169543548605,66.4550264550265,66.6614241533238,66.2106578590955,66.1442567348372
CAF,17.9724857962307,17.935145368962,18.3187125705738,18.7103724755882,18.7987935276444,20.0114792559785,20.8796523538243,21.2931193178107,22.0244309257511,19.3856325725825,19.6252378132826,20.3543388568916,20.8239563424142,21.2975119242248,21.5872679761071,21.9631752463416,20.4826074480022,20.1922113475683,20.393364920929,20.6175990511266,20.4990663415875
CAN,74.9280471196124,75.1874406360474,75.7118962243516,76.2892891075175,76.5524339598407,77.6690348422886,77.9615959998479,77.7526091165046,77.5997476199315,77.7977383182095,78.0368050611121,78.3133144603838,78.5399933210567,78.7310240516079,78.7757868020961,79.1588096981356,78.9575271510748,79.298968483162,79.3228912549238,79.5145677542417,79.9376491637297
CEB,52.6670333568619,53.1992168616567,54.039515507063,54.2671315250499,54.3978013066686,56.0996649883164,56.8584850529502,57.0608552762527,57.5210539099781,58.0862184263358,58.305651555669,59.0329793760065,59.2680782765984,59.3118536977702,59.5767005413875,59.9457238675866,60.0883936894179,60.8644786608161,61.2005404695716,61.8094023462855,62.955468023037
CHE,73.7305423470444,73.7691611760446,73.5426839526992,73.4053180057081,73.6425841517895,74.4574110822242,74.3377474062364,74.4470281718481,74.9352892781099,74.7989134026679,75.354148402406,75.8992903921193,76.1612648377604,76.3844891778296,76.5605229370481,77.0475212635368,77.0655294048787,77.470222217738,77.6956653377362,77.8440260748926,77.8521387229358
CHI,80.1977956677372,80.4219397468921,80.65069440602,80.8680971571724,81.1799338656343,81.695815031394,82.048724700125,82.2465269885414,82.6204352242956,82.8336414543311,82.9799457560089,83.2033514254097,83.4145707415351,83.5972604493375,83.8232883104435,84.0440800229636,84.5120261931747,84.5714214717905,84.6601775118913,84.8845518838865,85.101894799171
CHL,65.5676129836472,65.9922459962552,66.4431518194484,66.877218335155,67.1780114212644,67.6914744145076,68.1071485006111,68.1244779335096,67.9049015738483,68.4109590555563,69.0473355832274,68.9807459327921,69.7621136246386,70.2091058767264,70.6993922270154,71.1057760203361,70.8823756313542,70.4492116182373,70.8321861175298,71.6855465108541,72.1008199315877
CHN,30.6002920912406,31.3997915890731,32.2001132949176,32.4000001442606,33.2001114321863,34.0999915084727,34.5995667971914,35.7000783844491,36.0998140108212,38.4998131034926,40.5990776614307,42.3997107404935,42.9334259446319,43.3458036346466,43.8847198791517,44.5192735154599,45.2678537038915,45.5969845625275,44.9886051327682,45.7723935112505,46.1510599840955
