economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.6612,93.5425,97.17,,,,,,,
AFE,,1.8,1.9,2.7,3.0,3.5,5.3,6.8,8.4,10.0,12.1,14.3,16.3,17.3,19.6,21.6,23.5,25.0,26.8,27.8,28.8
AFG,0.105809,1.22415,2.10712,1.9,1.84,3.55,4.0,5.0,5.45455,5.9,7.0,8.26,11.0,13.5,16.8,17.6,17.0485,16.5143,17.1917,17.7089,
AFW,,2.3,3.4,4.3,5.0,5.8,7.3,8.7,10.3,12.6,15.0,18.6,20.9,23.8,25.7,28.5,31.5,34.7,37.5,38.5,40.0
AGO,0.464815,1.14337,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13.0,21.3623,22.0,23.2,26.0,29.0,32.1294,36.6347,39.3876,42.0719,44.7581,
ALB,2.42039,6.04389,9.60999,15.0361,23.86,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356,
AND,26.838,37.6058,48.9368,70.87,70.04,78.53,81.0,81.0,82.7,84.4,86.1,87.9,89.7,91.5675,,90.7187,93.2056,93.8975,94.4855,95.4456,
ARB,,,,,,,,,,,,,,,,,,,,,
ARE,30.1313,40.0,52.0,61.0,63.0,64.0,68.0,78.0,85.0,88.0,90.4,90.5,90.6,94.8199,98.45,99.15,100.0,100.0,100.0,100.0,100.0
ARG,16.0367,17.7206,20.9272,25.9466,28.1126,34.0,45.0,51.0,55.8,59.9,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229,89.6672
ARM,4.89901,5.25298,5.63179,6.02125,6.21,15.3,25.0,32.0,37.5,41.9,54.6228,59.1008,64.346,64.7449,68.2451,66.5439,76.5077,78.6123,77.0277,79.9966,
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,24.2665,27.0,30.0,34.0,38.0,42.0,47.0,52.0,58.0,63.4,67.78,70.0,70.9743,71.9621,72.9637,73.9792,75.0089,76.0528,77.1648,77.5756,
AUS,,63.0,66.0,69.45,71.67,74.25,76.0,79.4877,79.0,83.4535,84.0,84.5605,86.54,86.545,90.0,93.6099,94.6935,96.9722,97.0424,97.0631,
AUT,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294,92.5292,93.6141,95.3347,94.9197
AZE,,8.03038,11.9922,14.54,17.08,27.4,46.0,50.0,54.2,73.0,75.0,77.0,78.2,79.0,79.8,81.1,84.6,86.0,88.0,89.0,
BDI,0.34906,0.542143,0.657593,0.7,0.81,0.9,1.0,1.11,1.22,1.26422,1.04239,2.0,2.2,2.66075,4.0,6.1,9.17302,10.9847,11.0009,11.0784,
BEL,53.86,55.82,61.9819,66.7604,68.8573,74.5441,77.6398,81.61,80.72,82.1702,85.0012,85.0529,86.5165,87.6797,88.6473,90.2754,91.5264,92.7887,94.0078,94.6263,95.7758
BEN,1.18254,1.27103,1.53785,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6.0,11.255,14.5,18.7,19.0,20.5,22.1206,28.2047,30.0134,32.2083,
BFA,0.400295,0.469914,0.632708,0.75,0.92,1.13,2.4,3.0,3.72503,5.0,6.0,6.55,7.14,7.79,8.5,9.27181,10.7927,12.5631,14.6238,17.0226,
BGD,0.199036,0.241637,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1091,38.9174,41.6165,44.5027,
BGR,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.98,51.9,53.0615,55.4904,56.6563,59.8255,63.4101,64.782,67.947,70.1625,75.2714,79.1269,80.3896,82.439
BHR,21.4587,21.3037,28.244,32.91,51.95,53.0,55.0,77.0,88.0,90.0,90.5031,93.4783,98.0,95.8781,98.6447,99.7015,99.671,100.0,100.0,100.0,100.0
BHS,22.0,25.0,26.0,27.0,31.54,33.88,43.0,65.0,71.7482,72.0,76.92,78.0,80.0,80.6,83.0,90.6933,92.4437,94.3479,94.7326,94.8186,
BIH,15.469,21.3267,25.1224,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,73.2118,75.6762,78.8455,83.3772,86.1009
BLR,,,16.2,19.7,23.0,27.43,31.8,39.6489,46.91,54.17,59.0163,62.2304,71.113,74.4364,79.1299,82.7892,85.0879,86.8884,89.5073,91.5125,94.2618
BLZ,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.59,44.5757,48.8771,53.5936,58.7652,64.4359,70.6537,71.8096,72.3595,
BMU,60.9909,65.4471,69.8997,74.3506,82.3,83.25,84.21,88.336,91.2993,95.3,96.8,98.3236,98.0,98.37,,,,,,,
BOL,4.43992,5.22758,6.20067,10.4992,12.5,16.8,22.4,30.0,35.34,36.99,34.6016,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401,65.9774,67.3612,70.2368,
BRA,19.0737,21.0227,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427,80.6899,80.5278,84.1506,84.4635
BRB,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9,72.0,72.2,72.3,72.4,74.1791,76.002,77.8697,79.4451,79.9923,
BRN,29.7156,36.4664,42.1863,44.68,46.0,49.0,53.0,56.0,60.2731,64.5,68.77,71.2,90.0,94.8667,95.0,95.0,96.3055,97.6288,98.9704,99.0336,
BTN,3.15698,3.84711,4.51832,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.1794,76.8508,85.6369,86.2903,88.426,
BWA,3.30489,3.26255,4.28993,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.7447,37.3121,42.2576,47.8587,54.2022,61.3865,69.523,78.738,80.3696,81.36,
CAF,0.223401,0.268196,0.311159,0.375816,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,7.50916,,,,,
CAN,65.956,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.7014,94.64,91.9129,92.3,93.9371,94.0,93.9564,
CEB,,,,,,,,,,,,,,,,,,,,,
CHE,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.193,85.2,86.34,83.6173,87.4791,89.1347,89.6861,91.8,93.1461,94.3499,95.5694,96.4528,97.3444,
CHI,,,,,,,,,,,,,,,,,,,,,
CHL,28.1779,31.1753,34.4978,35.9,37.3,41.56,45.0,52.2496,55.05,58.0,61.11,76.6296,83.5586,82.3275,84.9,85.0176,87.4593,90.2328,93.5377,94.4574,
CHN,7.3,8.52326,10.5232,16.0,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113,90.6,92.0
CIV,0.849282,1.03924,1.5249,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,38.44,41.2078,43.8399,37.5465,36.289,36.0166,35.9507,38.4133,40.6528,
CMR,0.976075,1.40265,2.02874,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2149,18.3,20.6,23.203,29.7,36.5392,41.2264,42.0405,41.775,41.9088,
COD,0.196208,0.238038,0.296054,0.37,0.44,0.56,0.72,1.2,1.67996,2.2,3.0,3.8,10.1,8.6199,11.7,16.4812,21.6422,28.4193,29.4996,30.548,
COG,1.0775,1.46342,2.00799,2.7597,4.28751,4.5,5.0,5.6,6.1067,6.6,7.11,7.61597,8.12195,8.65,,,24.8206,33.3461,37.4939,38.3791,
COL,9.11869,11.0073,15.3417,21.8,25.6,30.0,36.5,40.3509,48.98,51.7,52.5681,55.905,58.1365,62.2599,64.1264,65.0069,69.7953,73.0284,72.7964,77.3369,
COM,1.32733,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.9753,6.5,6.98,7.45916,7.93832,8.47817,,16.3838,22.4204,30.6812,32.7685,35.6678,
CPV,5.31883,6.07409,6.80891,8.28322,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.683,50.3228,57.1621,59.5,61.9434,69.3734,70.2825,72.7601,73.539,
CRI,20.7923,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53.0,59.763,65.8804,71.5817,73.4797,81.2026,80.5302,82.749,82.598,85.3951,
CSS,,,,,,,,,,,,,,,,,,,,,
CUB,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,62.6789,67.9708,71.1191,67.6435,68.25,71.275,
CUW,,,,,,,,,,,,,61.8555,68.1272,,,,,,,
CYM,,38.0344,44.5,52.0,61.0,64.5,66.0,69.4659,69.7,71.4,74.1,77.0,79.0,81.0677,,,,,,,
CYP,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8599,60.6899,65.4548,69.3287,71.7157,75.9002,80.7432,84.4336,86.0636,90.8019,90.7595,89.601,91.2211,
CZE,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,81.3389,82.6706,84.5401,85.994,87.6878
DEU,64.73,68.71,72.16,75.16,78.0,79.0,82.0,81.27,82.35,84.17,86.1937,87.5898,84.1652,84.3942,87.0371,88.1345,89.8129,91.4306,91.6298,92.4764,93.5
DJI,0.781317,0.953611,1.27004,1.62,2.26,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.6814,57.0617,58.4762,59.9257,61.4112,63.2573,65.0248,
DMA,30.3196,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51.0,57.5,65.0,67.03,69.6197,,73.3819,75.6567,82.6979,83.3101,83.8255,
DNK,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.6297,95.9935,96.3305,96.9678,97.0994,97.3192,98.0464,96.5491,98.8659,97.8601,98.7756,99.7692
