economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,15.5965082540353,16.2974611255338,17.6558632372378,17.4795502921148,16.1823488793703,13.0430359920285,11.5460620013165,12.3664483303712,10.0760634560669,10.7496646425755,10.799498200524,12.4688254381031,12.7138128237982,12.3948278061063,11.358156434717,11.6288104514912,12.6114406876517,11.0075338030159,9.73591736419981,,
AFE,26.8893149488841,27.8152096872531,27.8943653138769,29.2235447877185,30.4645998089145,26.6977694815849,27.3212163743139,28.6052577416269,28.4590121987767,27.8033727389777,27.1637700860693,24.8785505777961,24.748444475518,25.3937369507361,26.172562623672,26.0330206191942,25.0956185656564,25.9427857270268,26.3210526613761,26.4166896198758,25.9484293974406
AFG,26.2267897500666,26.8120992326398,28.2107680719994,26.8822416082148,26.9156280026285,21.8971222069406,21.1514206977128,22.7402524820273,21.1578071539751,20.4446053132561,21.2296632181805,22.1240424906926,10.4668076938201,10.0518739969063,13.3872469597976,14.0581123697768,12.9525996015547,14.2736570191788,16.0503677223963,13.4498227120978,
AFW,28.8135111338226,29.4197914902828,28.1434367027884,27.0768748584186,28.1358811661849,24.6156342319428,27.3403594105445,30.3228391802371,29.7369723233846,28.7586082396961,27.3416005895994,23.152227373643,21.5173149706202,24.42401180708,26.6968365569618,23.3347838450209,21.2395036083466,21.9220901239411,23.0816586357113,23.1898778620108,24.1765434821094
AGO,50.2978770697738,56.1242984191149,54.2214232962716,57.905278239704,56.2078263483829,40.9723218323879,48.5501387093455,52.1706630052286,53.3611036467722,50.3750405397121,43.9966362099567,36.7338841349078,37.3943513261608,37.0989345106935,41.1891594014386,42.2251045134162,36.7098511285088,38.1721950958541,34.9333591780179,35.1292267229987,34.56731745622
ALB,27.7299752177294,28.1372131604488,28.4284255205783,28.5772545670045,28.5616497223775,27.5678722962167,27.4749142839601,26.9409865024688,25.4077242038709,25.506803612245,23.8286690584956,24.4814091473313,23.8670178864359,22.9533327106507,23.7535886253159,22.9655210859374,23.4687164183412,22.4341412350759,23.0250522159549,23.160711973189,22.4011031082403
AND,15.7803540103879,16.0357828783728,16.1672951911525,15.4735314793076,15.4327671138582,14.7664887100921,13.1256460606154,11.908853107908,11.0715796683925,10.6182471491429,10.1535313011382,9.98126871637019,10.1407794073814,10.3955176672591,11.0763337210625,11.6998176283166,12.6601582717327,12.3626363853047,11.1453411041301,12.4282261796617,12.7530228782248
ARB,49.6159049316719,53.41734229403,54.6310822829143,53.4223220003271,56.1487627202994,47.7183147067532,50.0622317000738,53.4253059488925,54.1899500446277,52.0080037186228,49.4959119090372,40.4265373349113,38.155994879331,40.7677492984881,44.5307863776535,42.4378832257503,36.2480477287924,42.7339657537053,48.6378194883718,44.6115100409235,42.7242298538505
ARE,51.6783480847693,55.6434763024807,57.903111718071,54.840228590251,58.0179784435584,52.044956000368,50.2592548678862,55.7510208781767,55.356407543947,52.9894122214127,50.7402069875437,42.1588028480264,39.8749229592768,41.4122717128473,45.7439845434706,43.4669683746299,40.3215883178557,45.3811872508727,49.3332992568668,45.4007387994769,44.3292859984628
ARG,28.816922006834,28.6263140439084,29.2032796652469,27.4152361334783,26.2724599395946,25.2842047993735,25.2587762576722,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304,23.1578477391434,22.4088763711802,23.4994644263761,24.1118636272911,25.1722105252735,23.9965975604249
ARM,,,,,,,,,27.8270946139077,26.7090481417071,25.2705329463993,25.7086994351611,25.5771330395605,25.8095323791656,24.7565578476257,24.9716084573435,26.8172956979296,26.3643404113901,25.4370966437794,22.8800961616671,22.8570663651858
ASM,,,,,,,,,,,,,,,,,,,,,
ATG,12.1583925458935,13.5142398300804,17.1234005318303,16.3197565694621,17.6099656888504,18.0457313815579,14.8379422285868,13.2274797388855,13.0746288099393,14.7598104413721,15.3667820905787,15.9280224466081,17.7641082763748,18.8045201502856,20.6520988023085,21.0807459545502,21.1209995224877,20.4832005622159,19.6581959747844,18.9871150486925,
