economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,76.456580991723,75.541061032835,73.7471756386862,72.0518850702006,73.1525399615721,75.7664029190885,78.5445335192497,77.4233295663828,79.5391289840283,80.1808370111718,80.2286442466312,79.1390682899908,78.7310715745525,78.9879081107466,79.7290794451106,77.9193349333139,77.2007006682213,78.4104138454673,79.0035997315605,,
AFE,54.0615506002132,52.8721406975059,52.142832261945,49.7905873166223,48.2903210213689,53.4094698273855,53.9021961689779,53.8211079711216,53.6311585622973,53.7787110257877,53.4688932792653,54.2821950252198,54.0249925435842,54.1233711836333,53.8787528097878,52.6298927017876,51.7241133548561,49.858938935124,48.0012413685301,49.7914536851808,50.6849835329271
AFG,41.1108953364243,39.0077871841904,39.8310243252872,40.294685221301,45.4098308716488,45.2444349261482,48.8793769096891,49.6968203962567,50.5793979236606,52.6827434733525,52.9908650351499,53.2352934986503,59.0232164144095,58.3290500097748,59.4774229106653,55.4728067408306,52.5721090890613,47.160422387969,45.0499087998591,46.3743698691993,
AFW,41.5741920896583,41.5659210294433,44.9688627419054,46.3239865813658,45.0941458531341,47.1713461337743,46.7779457642887,45.2639509685509,46.3092167352786,47.5773831391017,48.9989571472962,53.3099750620335,54.1903279496698,51.3715035331085,49.0041724705572,50.4821936480385,50.2436436741983,49.025874440669,48.3813464266183,48.727483861425,47.9279211581157
AGO,39.7136676214341,35.4993259457285,37.1439693103216,34.0967823030459,34.2212938482245,46.6572174638642,40.4058954859428,37.8278152881355,38.1528946330169,40.5013779544273,44.0532339009099,48.0419306568083,46.7231427013984,46.6189972009799,43.9574616765439,43.8627207016305,45.3591604963738,42.6412291780629,43.7734824749089,41.8051676690801,41.0551859909358
ALB,39.5598988272926,40.3981318981217,40.1991972841068,40.5451705003217,41.0750286540131,42.0040238601938,41.3131845921318,42.2390195525462,43.5059236088597,42.6287844572944,42.6575638095964,42.8778647519282,43.4481768975831,44.5621307131911,44.3970282534603,45.4534114346696,45.7213497398907,45.278770333241,46.2991272417493,47.6649908239316,48.6899937474805
AND,74.7942373593759,74.4198860237398,74.1242699981489,74.5592619910865,75.3640750593347,76.035601397438,76.991211654261,77.375135201479,76.8249491306888,78.021575852346,78.2437091148297,78.6674143272447,78.1008536948862,77.8688586318041,77.6557919031876,77.5555098246535,79.8154154929299,79.3818503932806,78.1918257115356,78.3110227448023,77.5890386001388
ARB,43.0493235909275,39.4980224869918,38.0802791120103,38.922926791695,36.6979955973631,44.5197855378122,43.3459618738186,40.508242339887,41.2703379755394,43.2322172227188,45.7504688421329,53.5143282767766,55.3712135843075,53.3260823345428,49.5158732360892,51.1698030253194,55.8322177166681,48.7012629032197,43.6170997882152,47.7417176178789,49.1079024652188
ARE,46.6562900061707,42.9608649080015,41.0026442799823,44.1831002420827,41.1547160923483,46.9181571110237,49.0084607339479,43.598805948996,44.015877615363,46.3792961334135,48.6341910716357,57.1249133872637,59.3842734203798,57.834027966231,53.5503724759063,55.7984028554324,58.7154459520141,53.7284648347058,49.9258038185875,53.8351924890457,54.9012947560482
ARG,47.8369882937827,48.4861459282405,48.7491333682456,49.5083307772744,50.2551922042782,53.3060010032753,51.4951802052167,51.8119007511102,53.6581179163924,53.9190936666216,52.9405434663365,55.8149012843362,56.1222358547004,57.3499373815692,56.3697502721818,55.4388171093669,54.8578674557962,52.8340319497207,53.5341356683759,53.1990739500308,53.6514046050424
